deg_level,deg_subject,cfa,exp,size,ret_3y,pct_pron
1,1,1,19,122786466.2,5.31738,42.19%
2,0,0,18,120808522.5,12.925005,29.27%
1,1,1,31,119504691.5,,40.00%
1,1,0,36,117496575,7.591456,21.67%
1,1,1,33,116754409.1,10.753966,28.00%
0,0,0,23,116506403.7,7.929309,27.69%
1,1,0,38,116129235.4,7.334254,26.85%
0,0,0,21,115858770.8,7.711422,28.00%
0,1,0,41,115666735.7,14.982174,25.00%
0,1,0,15,107827349.2,,12.20%
1,1,1,36,105875191,8.078835,25.71%
1,1,0,16,104760540.8,,30.30%
1,1,0,32,102090662.5,8.706344,25.58%
1,1,0,21,101726324,9.022476,22.22%
1,1,1,19,100966246.7,5.651072,22.22%
0,0,0,23,99107777.77,8.622982,27.61%
0,0,0,20,98975473.36,8.620366,32.50%
0,1,0,25,98189765.13,14.231338,16.67%
0,1,1,26,97774162.7,5.473427,27.85%
0,1,0,67,96580355.76,10.514327,22.22%
0,1,1,34,95154353.66,11.532483,32.05%
0,0,0,16,94393671,-1.318038,31.58%
1,1,0,23,91667994,,25.27%
1,1,0,10,87729511.36,4.041874,24.24%
1,1,1,19,87240570.34,7.596368,31.68%
1,1,1,22,86632880.99,13.445016,36.84%
1,1,1,25,81532605.37,7.855666,37.97%
1,1,1,21,81367659.59,6.654795,10.34%
0,1,1,39,80641107.28,3.636154,24.39%
1,1,0,25,79540617.73,7.774915,31.83%
1,1,1,26,79184215.95,10.444513,22.03%
1,1,0,20,77900264.35,7.140319,15.38%
0,1,0,16,77604423.52,1.459808,21.92%
1,1,1,21,77350229.14,8.857648,25.81%
1,1,1,32,73896972.46,5.766914,21.95%
1,1,0,32,73709806,11.67687,23.08%
0,0,0,35,72393097.62,11.737572,27.27%
0,0,1,20,71807021.9,11.360475,25.53%
0,0,1,20,68664274,12.207481,9.30%
0,1,0,30,68111734,7.983131,20.59%
0,1,1,31,67504674.21,11.273501,16.90%
1,1,0,13,67190201.64,8.583592,16.05%
1,1,1,19,66531854.83,11.665917,28.69%
1,1,0,35,64543091,9.147472,21.88%
1,1,1,46,64409326.09,8.619377,22.41%
1,1,0,16,61712742.51,10.125125,26.47%
1,1,0,15,59274555.21,8.575093,19.23%
1,1,0,23,59180284.29,7.423322,24.19%
1,1,1,32,58416909.71,7.551392,19.44%
0,1,1,34,57048297.06,13.940122,13.48%
